t,a
17.64,-0.24251
17.66,-0.51378
17.68,-0.568
17.7,-0.38303
17.72,0.05201
17.74,0.39013
17.76,0.65978
17.78,0.78429
17.8,0.69145
17.82,0.56463
17.84,0.61069
17.86,0.61869
17.88,0.33234
17.9,-0.1678
17.92,-0.64382
17.94,-0.81308
17.96,-0.61289
17.98,-0.29933
18,-0.16606
18.02,-0.14062
18.04,-0.12879
18.06,-0.04112
18.08,0.05823
18.1,0.22684
18.12,0.48639
18.14,0.64689
18.16,0.47628
18.18,0.06162
18.2,-0.14408
18.22,-0.24965
18.24,-0.25181
18.26,-0.2211
18.28,-0.37655
18.3,-0.53731
18.32,-0.63697
18.34,-0.58244
18.36,-0.52897
18.38,-0.64156
18.4,-0.74683
18.42,-0.79855
18.44,-0.71712
18.46,-0.66769
18.48,-0.81074
18.5,-0.81381
18.52,-0.51096
18.54,-0.15575
18.56,-0.11462
18.58,-0.37779
18.6,-0.58484
18.62,-0.44335
18.64,0.01319
18.66,0.35864
18.68,0.40613
18.7,0.27986
18.72,0.32393
18.74,0.60769
18.76,0.84816
18.78,1.01332
18.8,1.01078
18.82,0.80346
18.84,0.50298
18.86,0.26651
18.88,0.23581
18.9,0.47789
18.92,0.64422
18.94,0.6598
18.96,0.74174
18.98,0.59256
19,0.4228
19.02,0.31363
19.04,0.24143
19.06,0.2074
19.08,0.1286
19.1,0.23956
19.12,0.25887
19.14,0.16684
19.16,0.12746
19.18,0.15971
19.2,0.00752
19.22,-0.33916
19.24,-0.49436
19.26,-0.44288
19.28,-0.24578
19.3,-0.01235
19.32,0.01453
19.34,-0.20088
19.36,-0.48743
19.38,-0.68815
19.4,-0.87124
19.42,-1.02031
19.44,-0.86616
19.46,-0.68994
19.48,-0.72615
19.5,-0.69801
19.52,-0.4598
19.54,-0.29298
19.56,-0.36131
19.58,-0.52791
19.6,-0.71057
19.62,-0.77028
19.64,-0.72343
19.66,-0.56269
19.68,-0.17412
19.7,0.1667
19.72,0.44003
19.74,0.66178
19.76,0.63758
19.78,0.50487
19.8,0.31171
19.82,-0.03477
19.84,-0.4603
19.86,-0.70196
19.88,-0.62891
19.9,-0.39907
19.92,-0.15762
19.94,-0.2408
19.96,-0.45455
19.98,-0.47597
20,-0.49919
20.02,-0.3449
20.04,-0.14451
20.06,-0.12635
20.08,-0.18302
20.1,-0.33347
20.12,-0.57652
20.14,-0.78506
20.16,-0.72602
20.18,-0.38723
20.2,-0.0866
20.22,-0.01431
20.24,-0.22652
20.26,-0.47159
20.28,-0.58616
20.3,-0.61396
20.32,-0.55354
20.34,-0.39186
20.36,-0.19944
20.38,0.04946
20.4,0.32862
20.42,0.45537
20.44,0.13714
20.46,-0.1488
20.48,0.02142
20.5,0.1331
20.52,-0.04474
20.54,-0.21148
20.56,-0.06108
20.58,0.08099
20.6,0.09169
20.62,0.08413
20.64,-0.04515
20.66,-0.20187
20.68,-0.04996
20.7,0.22408
20.72,0.38504
20.74,0.28687
20.76,0.01537
20.78,0.00038
20.8,0.02323
20.82,-0.21265
20.84,-0.58951
20.86,-0.78549
20.88,-0.70177
20.9,-0.51826
20.92,-0.45873
20.94,-0.50626
20.96,-0.42166
20.98,-0.14208
21,0.22008
21.02,0.47841
21.04,0.51303
21.06,0.47784
21.08,0.50238
21.1,0.32526
21.12,0.12265
21.14,0.04104
21.16,-0.01903
21.18,-0.03388
21.2,-0.15433
21.22,-0.44547
21.24,-0.70774
21.26,-0.71479
21.28,-0.68998
21.3,-0.68681
21.32,-0.57309
21.34,-0.37264
21.36,-0.09259
21.38,0.15352
21.4,0.22012
21.42,0.08346
21.44,-0.06625
21.46,-0.03617
21.48,-0.02588
21.5,-0.14607
21.52,-0.19245
21.54,-0.16276
21.56,-0.11144
21.58,-0.07771
21.6,0.08131
21.62,0.31204
21.64,0.43356
21.66,0.53426
21.68,0.51181
21.7,0.33146
21.72,0.2244
21.74,0.28662
21.76,0.41081
21.78,0.37277
21.8,0.29971
21.82,0.34088
21.84,0.42495
21.86,0.40623
21.88,0.36885
21.9,0.30642
21.92,0.17257
21.94,0.23661
21.96,0.3347
21.98,0.38885
22,0.40419
22.02,0.37257
22.04,0.38565
22.06,0.43871
22.08,0.46739
22.1,0.46298
22.12,0.46761
22.14,0.29547
22.16,0.08899
22.18,0.18941
22.2,0.31658
22.22,0.2037
22.24,-0.05208
22.26,-0.06414
22.28,0.19454
22.3,0.31695
22.32,0.29045
22.34,0.16809
22.36,0.01235
22.38,-0.10995
22.4,-0.15216
22.42,-0.152
22.44,-0.13238
22.46,0.06253
22.48,0.19436
22.5,0.12609
22.52,0.09444
22.54,0.1523
22.56,-0.03042
22.58,-0.21717
22.6,-0.14125
22.62,-0.03098
22.64,-0.03471
22.66,-0.08968
22.68,0.08449
22.7,0.19888
22.72,0.11466
22.74,0.03095
22.76,0.01289
22.78,0.07449
22.8,0.09792
22.82,0.20647
22.84,0.20665
22.86,0.13604
22.88,0.28145
22.9,0.21393
22.92,-0.0381
22.94,-0.20002
22.96,-0.22878
22.98,-0.13862
23,-0.11799
23.02,-0.02438
23.04,0.04863
23.06,-0.04661
23.08,-0.20921
23.1,-0.11566
23.12,0.23035
23.14,0.37847
23.16,0.11105
23.18,-0.37159
23.2,-0.57451
23.22,-0.42534
23.24,-0.19755
23.26,-0.1719
23.28,-0.10108
23.3,-0.0057
23.32,-0.1485
23.34,-0.00079
23.36,0.42356
23.38,0.42149
23.4,0.08772
23.42,-0.18455
23.44,0.02034
23.46,0.36154
23.48,0.21326
23.5,0.31289
23.52,0.60064
23.54,0.56139
23.56,0.43709
23.58,0.53477
23.6,0.29504
23.62,-0.11829
23.64,-0.02133
23.66,-0.25678
23.68,-0.71499
23.7,-0.46351
23.72,-0.09638
23.74,-0.2209
23.76,-0.19726
23.78,0.23567
23.8,0.12988
23.82,-0.21283
23.84,0.03079
23.86,0.07116
23.88,-0.19869
23.9,-0.25517
23.92,-0.35063
23.94,-0.44155
23.96,-0.44544
23.98,-0.52384
24,-0.56958
24.02,-0.59363
24.04,-0.41688
24.06,-0.17736
24.08,-0.26042
24.1,-0.42578
24.12,-0.53517
24.14,-0.5057
24.16,-0.36191
24.18,-0.2779
24.2,-0.12824
24.22,-0.10794
24.24,-0.17503
24.26,-0.07464
24.28,0.23581
24.3,0.40806
24.32,0.27897
24.34,0.15426
24.36,0.14025
24.38,0.17922
24.4,0.06036
24.42,-0.13983
24.44,-0.0928
24.46,0.16565
24.48,0.38122
24.5,0.33747
24.52,0.29385
24.54,0.50661
24.56,0.64936
24.58,0.56014
24.6,0.1917
24.62,-0.07656
24.64,-0.01391
24.66,-0.01001
24.68,-0.12544
24.7,-0.18226
24.72,-0.19545
24.74,-0.1667
24.76,-0.04977
24.78,0.07975
24.8,0.16051
24.82,0.03766
24.84,-0.08522
24.86,-0.08507
24.88,-0.13256
24.9,-0.19973
24.92,-0.21365
24.94,-0.15239
24.96,-0.08783
24.98,0.02203
25,0.23165
25.02,0.41438
25.04,0.37721
25.06,0.26267
25.08,0.17097
25.1,0.1712
25.12,0.365
25.14,0.48194
25.16,0.43625
25.18,0.46932
25.2,0.47467
25.22,0.18221
25.24,0.0344
25.26,0.045
25.28,-0.06618
25.3,-0.02189
25.32,0.00514
25.34,-0.1189
25.36,-0.27542
25.38,-0.21361
25.4,0.04548
25.42,0.06664
25.44,-0.08399
25.46,-0.24122
25.48,-0.31229
25.5,-0.32751
25.52,-0.34932
25.54,-0.32193
25.56,-0.3047
25.58,-0.2159
25.6,-0.03639
25.62,-0.00749
25.64,-0.02066
25.66,0.02726
25.68,0.00264
25.7,-0.06458
25.72,-0.01755
25.74,0.12678
25.76,0.19724
25.78,0.20437
25.8,0.20577
25.82,0.24511
25.84,0.33141
25.86,0.36083
25.88,0.26817
25.9,0.16811
25.92,0.16761
25.94,0.15441
25.96,0.02431
25.98,-0.07482
26,-0.09003
26.02,-0.02296
26.04,-0.02096
26.06,-0.10735
26.08,-0.05373
26.1,0.05008
26.12,0.12135
26.14,0.16884
26.16,0.1285
26.18,0.0983
26.2,0.17786
26.22,0.38922
26.24,0.51921
26.26,0.5154
26.28,0.41002
26.3,0.22041
26.32,0.09167
26.34,-0.06866
26.36,-0.18095
26.38,-0.11544
26.4,0.0156
26.42,0.04664
26.44,-0.00229
26.46,-0.01674
26.48,-0.10256
26.5,-0.29309
26.52,-0.3344
26.54,-0.23956
26.56,-0.24286
26.58,-0.43083
26.6,-0.66399
26.62,-0.80282
26.64,-0.77958
26.66,-0.64589
26.68,-0.65242
26.7,-0.76822
26.72,-0.77625
26.74,-0.60056
26.76,-0.3735
26.78,-0.2784
26.8,-0.36229
26.82,-0.44111
26.84,-0.46888
26.86,-0.33476
26.88,-0.22441
26.9,-0.2298
26.92,-0.28944
26.94,-0.36392
26.96,-0.33351
26.98,-0.30081
27,-0.24296
27.02,-0.07451
27.04,0.13965
27.06,0.30636
27.08,0.3134
27.1,0.09532
27.12,-0.14217
27.14,-0.10885
27.16,0.0434
27.18,0.10178
27.2,0.17286
27.22,0.21116
27.24,0.29684
27.26,0.33153
27.28,0.33546
27.3,0.32852
27.32,0.23126
27.34,0.10668
27.36,-0.05381
27.38,-0.06374
27.4,0.14233
27.42,0.32107
27.44,0.42681
27.46,0.44888
27.48,0.40715
27.5,0.36823
27.52,0.32958
27.54,0.44118
27.56,0.58549
27.58,0.55045
27.6,0.44592
27.62,0.45374
27.64,0.39727
27.66,0.3872
27.68,0.33986
27.7,0.17304
27.72,0.11073
27.74,0.12191
27.76,0.24903
27.78,0.40546
27.8,0.49538
27.82,0.47236
27.84,0.37781
27.86,0.29844
27.88,0.32406
27.9,0.25612
27.92,0.0798
27.94,-0.07079
27.96,-0.29331
27.98,-0.36332
28,-0.10223
28.02,0.12462
28.04,0.09798
28.06,-0.02468
28.08,-0.10774
28.1,-0.11783
28.12,-0.11778
28.14,-0.09223
28.16,-0.11444
28.18,-0.11426
28.2,-0.0074
28.22,0.11426
28.24,0.21629
28.26,0.23997
28.28,-0.00114
28.3,-0.31427
28.32,-0.36305
28.34,-0.34143
28.36,-0.3346
28.38,-0.35416
28.4,-0.41595
28.42,-0.45945
28.44,-0.49355
28.46,-0.49167
28.48,-0.49154
28.5,-0.4459
28.52,-0.3007
28.54,-0.22705
28.56,-0.20799
28.58,-0.18709
28.6,-0.18939
28.62,-0.09869
28.64,-0.06583
28.66,-0.15601
28.68,-0.17698
28.7,-0.10885
28.72,0.02945
28.74,0.21026
28.76,0.31671
28.78,0.28728
28.8,0.16459
28.82,-0.00579
28.84,-0.06997
28.86,0.00456
28.88,0.11398
28.9,0.13738
28.92,-0.01101
28.94,-0.13891
28.96,-0.29399
28.98,-0.41138
29,-0.17092
29.02,0.01466
29.04,-0.01007
29.06,-0.18668
29.08,-0.20653
29.1,0.01434
29.12,0.03294
29.14,-0.08445
29.16,-0.35035
29.18,-0.41267
29.2,-0.09376
29.22,0.28134
29.24,0.38463
29.26,0.26638
29.28,0.2181
29.3,0.37751
29.32,0.62353
29.34,0.66137
29.36,0.48597
29.38,0.14839
29.4,-0.3595
29.42,-0.90215
29.44,-1.09923
29.46,-0.86542
29.48,-0.34092
29.5,0.52932
29.52,1.06611
29.54,1.07529
29.56,0.82929
29.58,0.63478
