t,sg,y,v
2.370000, 234.661301, 51.594753 , 90.220121,119.668502 
2.380000, 227.716034, 52.506097 , 91.439208,124.148812 
2.390000, 220.835947, 53.429968 , 92.703016,128.612805 
2.400000, 214.070984, 54.366811 , 94.011464,133.076799 
2.410000, 207.470359, 55.317073 , 95.364345,137.499351 
2.420000, 201.082245, 56.281194 , 96.761451,141.921904 
2.430000, 194.953469, 57.259617 , 98.202451,146.278155 
2.440000, 189.129213, 58.252775 , 99.687014,150.634406 
2.450000, 183.652728, 59.261103 , 101.214686,154.899915 
2.460000, 178.565063, 60.285027 , 102.785012,159.165423 
2.470000, 173.904801, 61.324970 , 104.397421,163.316323 
2.480000, 169.707818, 62.381349 , 106.051339,167.467223 
2.490000, 166.007052, 63.454573 , 107.746077,171.480375 
2.500000, 162.832296, 64.545045 , 109.480946,175.493527 
2.510000, 160.210010, 65.653161 , 111.255147,179.346665 
2.520000, 158.163152, 66.779308 , 113.067880,183.199803 
2.530000, 156.711034, 67.923865 , 114.918237,186.871674 
2.540000, 155.869196, 69.087200 , 116.805313,190.543545 
2.550000, 155.649312, 70.269674 , 118.728101,194.014047 
2.560000, 156.059115, 71.471636 , 120.685594,197.484548 
2.570000, 157.102344, 72.693425 , 122.676691,200.734852 
2.580000, 158.778726, 73.935369 , 124.700291,203.985156 
2.590000, 161.083974, 75.197784 , 126.755206,206.997832 
2.600000, 164.009815, 76.480974 , 128.840248,210.010508 
2.610000, 167.544042, 77.785231 , 130.954149,212.769630 
2.620000, 171.670595, 79.110833 , 133.095640,215.528752 
2.630000, 176.369657, 80.458048 , 135.263384,218.020002 
2.640000, 181.617783, 81.827127 , 137.456040,220.511252 
2.650000, 187.388049, 83.218308 , 139.672207,222.722009 
2.660000, 193.650220, 84.631817 , 141.910481,224.932766 
2.670000, 200.370945, 86.067864 , 144.169405,226.852187 
2.680000, 207.513966, 87.526644 , 146.447524,228.771609 
2.690000, 215.040349, 89.008338 , 148.743336,230.390699 
2.700000, 222.908728, 90.513111 , 151.055338,232.009788 
2.710000, 231.075572, 92.041115 , 153.381995,233.321453 
2.720000, 239.495458, 93.592483 , 155.721767,234.633118 
2.730000, 248.121358, 95.167336 , 158.073094,235.632214 
2.740000, 256.904940, 96.765776 , 160.434412,236.631310 
2.750000, 265.796870, 98.387893 , 162.804142,237.314674 
2.760000, 274.747129, 100.033759 , 165.180705,237.998038 
2.770000, 283.705329, 101.703430 , 167.562518,238.364507 
2.780000, 292.621031, 103.396946 , 169.947995,238.730976 
2.790000, 301.444065, 105.114333 , 172.335557,238.781398 
2.800000, 310.124848, 106.855599 , 174.723623,238.831819 
2.810000, 318.614699, 108.620738 , 177.110628,238.569041 
2.820000, 326.866147, 110.409727 , 179.495004,238.306264 
2.830000, 334.833234, 112.222528 , 181.875211,237.735122 
2.840000, 342.471800, 114.059089 , 184.249707,237.163980 
2.850000, 349.739772, 115.919341 , 186.616983,236.291263 
2.860000, 356.597422, 117.803200 , 188.975532,235.418546 
2.870000, 363.007625, 119.710568 , 191.323889,234.252954 
2.880000, 368.936090, 121.641332 , 193.660591,233.087362 
2.890000, 374.351581, 123.595365 , 195.984225,231.639452 
2.900000, 379.226113, 125.572526 , 198.293380,230.191541 
2.910000, 383.535129, 127.572660 , 200.586706,228.473658 
2.920000, 387.257655, 129.595598 , 202.862853,226.755775 
2.930000, 390.376438, 131.641159 , 205.120542,224.781977 
2.940000, 392.878047, 133.709149 , 207.358493,222.808178 
2.950000, 394.752966, 135.799362 , 209.575504,220.594143 
2.960000, 395.995649, 137.911578 , 211.770375,218.380108 
2.970000, 396.604559, 140.045569 , 213.941991,215.943037 
2.980000, 396.582173, 142.201093 , 216.089236,213.505967 
2.990000, 395.934973, 144.377899 , 218.211088,210.864477 
3.000000, 394.673397, 146.575726 , 220.306526,208.222987 
3.010000, 392.811780, 148.794302 , 222.374626,205.396988 
3.020000, 390.368259, 151.033347 , 224.414466,202.570989 
3.030000, 387.364658, 153.292573 , 226.425228,199.581561 
3.040000, 383.826353, 155.571681 , 228.406097,196.592133 
3.050000, 379.782108, 157.870369 , 230.356364,193.461392 
3.060000, 375.263893, 160.188325 , 232.275325,190.330652 
3.070000, 370.306682, 162.525231 , 234.162386,187.081610 
3.080000, 364.948233, 164.880765 , 236.016957,183.832568 
3.090000, 359.228845, 167.254596 , 237.838565,180.488987 
3.100000, 353.191105, 169.646393 , 239.626737,177.145405 
3.110000, 346.879621, 172.055818 , 241.381122,173.731645 
3.120000, 340.340730, 174.482531 , 243.101369,170.317885 
3.130000, 333.622216, 176.926189 , 244.787253,166.858751 
3.140000, 326.772998, 179.386446 , 246.438544,163.399617 
3.150000, 319.842824, 181.862956 , 248.055144,159.920203 
3.160000, 312.881956, 184.355371 , 249.636948,156.440789 
3.170000, 305.940851, 186.863344 , 251.183984,152.966316 
3.180000, 299.069839, 189.386526 , 252.696275,149.491843 
3.190000, 292.318806, 191.924571 , 254.173972,146.047501 
3.200000, 285.736879, 194.477135 , 255.617225,142.603159 
3.210000, 279.372112, 197.043876 , 257.026310,139.213948 
3.220000, 273.271184, 199.624453 , 258.401504,135.824737 
3.230000, 267.479099, 202.218530 , 259.743204,132.515307 
3.240000, 262.038906, 204.825777 , 261.051810,129.205877 
3.250000, 256.991424, 207.445865 , 262.327841,126.000371 
3.260000, 252.374981, 210.078474 , 263.571817,122.794866 
3.270000, 248.225174, 212.723286 , 264.784376,119.716770 
3.280000, 244.574643, 215.379993 , 265.966153,116.638675 
3.290000, 241.452863, 218.048293 , 267.117899,113.710668 
3.300000, 238.885959, 220.727890 , 268.240366,110.782661 
3.310000, 236.896536, 223.418499 , 269.334412,108.026470 
3.320000, 235.503542, 226.119842 , 270.400896,105.270278 
3.330000, 234.722144, 228.831650 , 271.440780,102.706539 
3.340000, 234.563632, 231.553665 , 272.455026,100.142800 
3.350000, 235.035349, 234.285637 , 273.444695,97.790932 
3.360000, 236.140644, 237.027331 , 274.410845,95.439064 
3.370000, 237.878848, 239.778517 , 275.354626,93.317142 
3.380000, 240.245284, 242.538983 , 276.277188,91.195220 
3.390000, 243.231290, 245.308524 , 277.179763,89.319862 
3.400000, 246.824280, 248.086950 , 278.063585,87.444504 
3.410000, 251.007819, 250.874084 , 278.929961,85.830765 
3.420000, 255.761729, 253.669760 , 279.780200,84.217026 
3.430000, 261.062219, 256.473828 , 280.615677,82.878303 
3.440000, 266.882031, 259.286151 , 281.437766,81.539580 
3.450000, 273.190618, 262.106605 , 282.247902,80.487526 
3.460000, 279.954334, 264.935081 , 283.047517,79.435472 
3.470000, 287.136648, 267.771485 , 283.838094,78.679925 
3.480000, 294.698377, 270.615739 , 284.621115,77.924378 
3.490000, 302.597932, 273.467777 , 285.398104,77.473296 
3.500000, 310.791585, 276.327552 , 286.170581,77.022213 
3.510000, 319.233740, 279.195029 , 286.940100,76.881622 
3.520000, 327.877231, 282.070191 , 287.708214,76.741032 
3.530000, 336.673612, 284.953035 , 288.476494,76.914994 
3.540000, 345.573470, 287.843575 , 289.246514,77.088956 
3.550000, 354.526735, 290.741841 , 290.019856,77.579536 
3.560000, 363.483000, 293.647876 , 290.798104,78.070117 
3.570000, 372.391838, 296.561743 , 291.582842,78.877376 
3.580000, 381.203122, 299.483517 , 292.375652,79.684635 
3.590000, 389.867344, 302.413292 , 293.178108,80.806625 
3.600000, 398.335929, 305.351176 , 293.991784,81.928615 
3.610000, 406.561540, 308.297292 , 294.818234,83.361394 
3.620000, 414.498381, 311.251780 , 295.659012,84.794173 
3.630000, 422.102487, 314.214795 , 296.515642,86.531829 
3.640000, 429.332001, 317.186506 , 297.389649,88.269485 
3.650000, 436.147439, 320.167099 , 298.282517,90.304174 
3.660000, 442.511944, 323.156774 , 299.195732,92.338862 
3.670000, 448.391516, 326.155743 , 300.130731,94.660857 
3.680000, 453.755226, 329.164237 , 301.088949,96.982851 
3.690000, 458.575419, 332.182498 , 302.071767,99.580603 
3.700000, 462.827882, 335.210782 , 303.080562,102.178355 
3.710000, 466.492001, 338.249358 , 304.116646,105.038570 
3.720000, 469.550890, 341.298510 , 305.181333,107.898784 
3.730000, 471.991500, 344.358532 , 306.275859,111.006502 
3.740000, 473.804701, 347.429732 , 307.401463,114.114220 
3.750000, 474.985338, 350.512431 , 308.559299,117.452913 
3.760000, 475.532267, 353.606958 , 309.750521,120.791607 
3.770000, 475.448358, 356.713656 , 310.976196,124.343284 
3.780000, 474.740483, 359.832877 , 312.237387,127.894961 
3.790000, 473.419466, 362.964983 , 313.535063,131.640281 
3.800000, 471.500017, 366.110347 , 314.870193,135.385600 
3.810000, 469.000639, 369.269350 , 316.243641,139.303993 
3.820000, 465.943512, 372.442381 , 317.656272,143.222386 
3.830000, 462.354350, 375.629838 , 319.108845,147.292186 
3.840000, 458.262239, 378.832126 , 320.602116,151.361987 
3.850000, 453.699453, 382.049657 , 322.136729,155.560569 
3.860000, 448.701249, 385.282849 , 323.713328,159.759152 
3.870000, 443.305644, 388.532125 , 325.332439,164.063075 
3.880000, 437.553172, 391.797916 , 326.994589,168.366998 
3.890000, 431.486632, 395.080654 , 328.700185,172.752152 
3.900000, 425.150812, 398.380776 , 330.449632,177.137306 
3.910000, 418.592205, 401.698725 , 332.243214,181.579067 
3.920000, 411.858718, 405.034942 , 334.081213,186.020829 
3.930000, 404.999366, 408.389873 , 335.963789,190.494214 
3.940000, 398.063962, 411.763966 , 337.891098,194.967599 
3.950000, 391.102801, 415.157667 , 339.863173,199.447425 
3.960000, 384.166340, 418.571426 , 341.880046,203.927251 
3.970000, 377.304881, 422.005688 , 343.941624,208.388293 
3.980000, 370.568250, 425.460901 , 346.047812,212.849336 
3.990000, 364.005482, 428.937508 , 348.198391,217.266490 
4.000000, 357.664510, 432.435953 , 350.393142,221.683643 
4.010000, 351.591860, 435.956673 , 352.631720,226.032082 
4.020000, 345.832360, 439.500106 , 354.913783,230.380520 
4.030000, 340.428851, 443.066682 , 357.238865,234.635851 
4.040000, 335.421919, 446.656828 , 359.606500,238.891182 
4.050000, 330.849636, 450.270965 , 362.016104,243.029605 
4.060000, 326.747319, 453.909508 , 364.467093,247.168028 
4.070000, 323.147306, 457.572867 , 366.958765,251.166482 
4.080000, 320.078753, 461.261442 , 369.490422,255.164935 
4.090000, 317.567445, 464.975627 , 372.061253,259.001247 
4.100000, 315.635639, 468.715809 , 374.670447,262.837559 
